Employee ID,Employee Name,Team,Received,Processed,Pending,Errors,Rework,SLA_Achieved,Working_Hours,Attendance,Productivity,Productivity %,Accuracy %,Error Rate %,Rework Rate %,SLA %,Productivity Rank
EMP029,Employee 029,Team C,5855,4655,1258,58,82,4528,299.0,91.46,15.57,103.79,98.75,1.25,1.76,97.27,1
EMP010,Employee 010,Team A,5866,4831,1154,63,102,4674,312.0,95.12,15.48,103.23,98.7,1.3,2.11,96.75,2
EMP012,Employee 012,Team B,6658,4485,2176,56,92,4207,299.5,91.46,14.97,99.83,98.75,1.25,2.05,93.8,3
EMP037,Employee 037,Team D,5003,4758,510,70,103,4460,320.0,97.56,14.87,99.13,98.53,1.47,2.16,93.74,4
EMP026,Employee 026,Team C,5973,4639,1385,68,95,4331,312.0,95.12,14.87,99.12,98.53,1.47,2.05,93.36,5
EMP021,Employee 021,Team C,6105,4748,1415,69,101,4420,319.5,97.56,14.86,99.07,98.55,1.45,2.13,93.09,6
EMP005,Employee 005,Team A,5763,4691,1200,72,92,4556,323.5,98.78,14.5,96.67,98.47,1.53,1.96,97.12,7
EMP016,Employee 016,Team B,6537,4481,2061,54,93,4343,312.0,95.12,14.36,95.75,98.79,1.21,2.08,96.92,8
EMP023,Employee 023,Team C,5759,4481,1329,77,97,4332,319.0,97.56,14.05,93.65,98.28,1.72,2.16,96.67,9
EMP019,Employee 019,Team B,5871,4096,1779,54,77,3969,292.0,89.02,14.03,93.52,98.68,1.32,1.88,96.9,10
EMP014,Employee 014,Team B,5486,3741,1748,163,78,3445,320.0,97.56,11.69,77.94,95.64,4.36,2.09,92.09,11
EMP035,Employee 035,Team D,3924,3681,435,165,71,3399,322.0,98.78,11.43,76.21,95.52,4.48,1.93,92.34,12
EMP033,Employee 033,Team D,3490,3263,412,156,68,3008,287.5,87.8,11.35,75.66,95.22,4.78,2.08,92.19,13
EMP031,Employee 031,Team D,3647,3434,392,164,67,3130,303.5,92.68,11.31,75.43,95.22,4.78,1.95,91.15,14
EMP018,Employee 018,Team B,4938,3377,1565,154,66,3114,299.0,91.46,11.29,75.3,95.44,4.56,1.95,92.21,15
EMP011,Employee 011,Team B,4775,3275,1504,157,58,3012,291.5,89.02,11.23,74.9,95.21,4.79,1.77,91.97,16
EMP039,Employee 039,Team D,3697,3481,412,156,65,3208,310.5,95.12,11.21,74.74,95.52,4.48,1.87,92.16,17
EMP008,Employee 008,Team A,4335,3516,922,161,59,3224,319.5,97.56,11.0,73.36,95.42,4.58,1.68,91.7,18
EMP038,Employee 038,Team D,3666,3421,424,170,67,3136,311.0,95.12,11.0,73.33,95.03,4.97,1.96,91.67,19
EMP017,Employee 017,Team B,5148,3499,1652,345,169,3010,318.5,97.56,10.99,73.24,90.14,9.86,4.83,86.02,20
EMP002,Employee 002,Team A,4091,3404,784,165,64,3122,311.5,95.12,10.93,72.85,95.15,4.85,1.88,91.72,21
EMP025,Employee 025,Team C,4240,3303,975,158,61,2929,303.5,92.68,10.88,72.55,95.22,4.78,1.85,88.68,22
EMP006,Employee 006,Team A,4325,3518,894,157,61,3117,323.5,98.78,10.87,72.5,95.54,4.46,1.73,88.6,23
EMP003,Employee 003,Team A,3930,3249,769,141,59,2974,300.0,91.46,10.83,72.2,95.66,4.34,1.82,91.54,24
EMP001,Employee 001,Team A,3951,3203,828,149,61,2956,296.0,90.24,10.82,72.14,95.35,4.65,1.9,92.29,25
EMP027,Employee 027,Team C,4299,3361,981,134,63,2978,311.0,95.12,10.81,72.05,96.01,3.99,1.87,88.6,26
EMP022,Employee 022,Team C,4305,3328,1016,128,67,3061,311.5,95.12,10.68,71.23,96.15,3.85,2.01,91.98,27
EMP034,Employee 034,Team D,3452,3247,376,328,153,2908,308.0,93.9,10.54,70.28,89.9,10.1,4.71,89.56,28
EMP013,Employee 013,Team B,4846,3332,1518,157,58,3067,319.5,97.56,10.43,69.53,95.29,4.71,1.74,92.05,29
EMP036,Employee 036,Team D,3530,3278,423,146,64,3015,323.5,98.78,10.13,67.55,95.55,4.45,1.95,91.98,30
EMP004,Employee 004,Team A,3751,3111,735,145,58,2837,307.5,93.9,10.12,67.45,95.34,4.66,1.86,91.19,31
EMP024,Employee 024,Team C,3712,2915,827,117,56,2680,296.0,90.24,9.85,65.65,95.99,4.01,1.92,91.94,32
EMP030,Employee 030,Team C,3072,2435,666,190,38,2002,289.5,89.02,8.41,56.07,92.2,7.8,1.56,82.22,33
EMP020,Employee 020,Team B,3669,2518,1154,195,40,1985,311.0,95.12,8.1,53.98,92.26,7.74,1.59,78.83,34
EMP028,Employee 028,Team C,3220,2499,752,203,46,2055,314.5,96.34,7.95,52.97,91.88,8.12,1.84,82.23,35
EMP009,Employee 009,Team A,2851,2355,566,203,38,1953,314.5,96.34,7.49,49.92,91.38,8.62,1.61,82.93,36
EMP040,Employee 040,Team D,2342,2217,252,188,33,1881,301.0,92.68,7.37,49.1,91.52,8.48,1.49,84.84,37
EMP032,Employee 032,Team D,2430,2319,240,195,40,1798,315.5,96.34,7.35,49.0,91.59,8.41,1.72,77.53,38
EMP007,Employee 007,Team A,2621,2143,539,184,37,1790,303.0,92.68,7.07,47.15,91.41,8.59,1.73,83.53,39
EMP015,Employee 015,Team B,3380,2294,1088,196,43,1896,328.0,100.0,6.99,46.63,91.46,8.54,1.87,82.65,40
