Date,Received,Processed,Pending,Errors,Rework,SLA_Achieved,Working_Hours,Attendance,Productivity,Productivity %,Accuracy %,Error Rate %,Rework Rate %,SLA %,Backlog
2026-07-01,4334,3068,1266,140,70,2789,290.0,91.25,10.58,70.53,95.44,4.56,2.28,90.91,1266
2026-07-02,4848,3352,1496,131,67,3054,299.5,93.75,11.19,74.61,96.09,3.91,2.0,91.11,1496
2026-07-03,4248,3354,894,132,66,3082,298.5,93.75,11.24,74.91,96.06,3.94,1.97,91.89,894
2026-07-04,3153,3558,2,148,78,3253,303.5,95.0,11.72,78.15,95.84,4.16,2.19,91.43,-405
2026-07-05,3160,3326,150,142,71,3030,299.0,93.75,11.12,74.16,95.73,4.27,2.13,91.1,-166
2026-07-06,5180,3682,1498,172,82,3353,303.5,95.0,12.13,80.88,95.33,4.67,2.23,91.06,1498
2026-07-07,4203,3079,1124,117,58,2791,299.5,93.75,10.28,68.54,96.2,3.8,1.88,90.65,1124
2026-07-08,4238,3119,1119,124,60,2841,300.0,93.75,10.4,69.31,96.02,3.98,1.92,91.09,1119
2026-07-09,4804,3261,1543,122,65,2941,286.0,90.0,11.4,76.01,96.26,3.74,1.99,90.19,1543
2026-07-10,4500,3399,1101,146,68,3084,303.5,95.0,11.2,74.66,95.7,4.3,2.0,90.73,1101
2026-07-11,3325,3423,77,144,76,3150,308.0,96.25,11.11,74.09,95.79,4.21,2.22,92.02,-98
2026-07-12,3212,3545,134,145,80,3241,302.5,95.0,11.72,78.13,95.91,4.09,2.26,91.42,-333
2026-07-13,5099,3226,1873,131,67,2942,299.0,93.75,10.79,71.93,95.94,4.06,2.08,91.2,1873
2026-07-14,4471,3235,1236,143,56,2968,308.0,96.25,10.5,70.02,95.58,4.42,1.73,91.75,1236
2026-07-15,4593,3045,1548,132,63,2777,288.0,90.0,10.57,70.49,95.67,4.33,2.07,91.2,1548
2026-07-16,4957,3094,1863,136,58,2808,287.5,90.0,10.76,71.74,95.6,4.4,1.87,90.76,1863
2026-07-17,4282,3514,768,155,69,3196,307.5,96.25,11.43,76.18,95.59,4.41,1.96,90.95,768
2026-07-18,3303,3335,320,157,60,3050,292.0,91.25,11.42,76.14,95.29,4.71,1.8,91.45,-32
2026-07-19,3067,3106,95,146,62,2841,275.5,86.25,11.27,75.16,95.3,4.7,2.0,91.47,-39
2026-07-20,5130,3404,1726,138,79,3107,303.0,95.0,11.23,74.9,95.95,4.05,2.32,91.27,1726
2026-07-21,4277,3451,826,140,67,3154,311.0,97.5,11.1,73.98,95.94,4.06,1.94,91.39,826
2026-07-22,4414,3409,1005,143,67,3132,296.0,92.5,11.52,76.78,95.81,4.19,1.97,91.87,1005
2026-07-23,4698,3468,1231,142,67,3139,295.0,92.5,11.76,78.37,95.91,4.09,1.93,90.51,1230
2026-07-24,4265,3461,850,150,64,3182,310.5,97.5,11.15,74.31,95.67,4.33,1.85,91.94,804
2026-07-25,3405,3486,62,143,76,3189,319.0,100.0,10.93,72.85,95.9,4.1,2.18,91.48,-81
2026-07-26,3149,3517,0,153,75,3218,315.5,98.75,11.15,74.32,95.65,4.35,2.13,91.5,-368
2026-07-27,5072,3333,1739,141,67,3039,296.0,92.5,11.26,75.07,95.77,4.23,2.01,91.18,1739
2026-07-28,4641,3243,1398,132,66,2978,291.0,91.25,11.14,74.3,95.93,4.07,2.04,91.83,1398
2026-07-29,4451,3766,752,161,78,3450,319.5,100.0,11.79,78.58,95.72,4.28,2.07,91.61,685
2026-07-30,4962,3516,1447,149,73,3234,304.0,95.0,11.57,77.11,95.76,4.24,2.08,91.98,1446
2026-07-31,4147,3440,707,153,74,3118,312.0,97.5,11.03,73.5,95.55,4.45,2.15,90.64,707
2026-08-01,3432,3372,207,148,76,3067,312.0,97.5,10.81,72.05,95.61,4.39,2.25,90.95,60
2026-08-02,3610,3150,508,134,65,2886,271.0,85.0,11.62,77.49,95.75,4.25,2.06,91.62,460
2026-08-03,4955,3526,1459,161,72,3192,303.0,95.0,11.64,77.58,95.43,4.57,2.04,90.53,1429
2026-08-04,4640,3529,1111,169,72,3213,311.0,97.5,11.35,75.65,95.21,4.79,2.04,91.05,1111
2026-08-05,4532,3640,956,158,72,3337,315.0,98.75,11.56,77.04,95.66,4.34,1.98,91.68,892
2026-08-06,4958,3624,1334,160,74,3321,310.5,97.5,11.67,77.81,95.58,4.42,2.04,91.64,1334
2026-08-07,4525,3449,1120,148,64,3161,303.5,95.0,11.36,75.76,95.71,4.29,1.86,91.65,1076
2026-08-08,3445,3258,336,140,68,2986,311.0,97.5,10.48,69.84,95.7,4.3,2.09,91.65,187
2026-08-09,3444,3224,446,128,72,2924,299.5,93.75,10.76,71.76,96.03,3.97,2.23,90.69,220
2026-08-10,5384,3595,1789,157,78,3292,320.0,100.0,11.23,74.9,95.63,4.37,2.17,91.57,1789
