Date,Received,Processed,Pending,Opening Backlog,Closing Backlog,Backlog Change
2026-07-01,4334,3068,1266,0,1266,1266
2026-07-02,4848,3352,1496,1266,2762,1496
2026-07-03,4248,3354,894,2762,3656,894
2026-07-04,3153,3558,2,3656,3251,-405
2026-07-05,3160,3326,150,3251,3085,-166
2026-07-06,5180,3682,1498,3085,4583,1498
2026-07-07,4203,3079,1124,4583,5707,1124
2026-07-08,4238,3119,1119,5707,6826,1119
2026-07-09,4804,3261,1543,6826,8369,1543
2026-07-10,4500,3399,1101,8369,9470,1101
2026-07-11,3325,3423,77,9470,9372,-98
2026-07-12,3212,3545,134,9372,9039,-333
2026-07-13,5099,3226,1873,9039,10912,1873
2026-07-14,4471,3235,1236,10912,12148,1236
2026-07-15,4593,3045,1548,12148,13696,1548
2026-07-16,4957,3094,1863,13696,15559,1863
2026-07-17,4282,3514,768,15559,16327,768
2026-07-18,3303,3335,320,16327,16295,-32
2026-07-19,3067,3106,95,16295,16256,-39
2026-07-20,5130,3404,1726,16256,17982,1726
2026-07-21,4277,3451,826,17982,18808,826
2026-07-22,4414,3409,1005,18808,19813,1005
2026-07-23,4698,3468,1231,19813,21043,1230
2026-07-24,4265,3461,850,21043,21847,804
2026-07-25,3405,3486,62,21847,21766,-81
2026-07-26,3149,3517,0,21766,21398,-368
2026-07-27,5072,3333,1739,21398,23137,1739
2026-07-28,4641,3243,1398,23137,24535,1398
2026-07-29,4451,3766,752,24535,25220,685
2026-07-30,4962,3516,1447,25220,26666,1446
2026-07-31,4147,3440,707,26666,27373,707
2026-08-01,3432,3372,207,27373,27433,60
2026-08-02,3610,3150,508,27433,27893,460
2026-08-03,4955,3526,1459,27893,29322,1429
2026-08-04,4640,3529,1111,29322,30433,1111
2026-08-05,4532,3640,956,30433,31325,892
2026-08-06,4958,3624,1334,31325,32659,1334
2026-08-07,4525,3449,1120,32659,33735,1076
2026-08-08,3445,3258,336,33735,33922,187
2026-08-09,3444,3224,446,33922,34142,220
2026-08-10,5384,3595,1789,34142,35931,1789
