Record ID,Employee ID,Employee Name,Team,Process,Date,Shift,Records Received,Records Processed,Records Pending,Errors,Rework,SLA Target,SLA Achieved,Processing Time,Working Hours,Quality Score,Attendance,Status
REC000001,EMP001,Employee 001,Team A,Document Verification,2026-07-01,General,116,82,34,3,1,95,79,4.07,8.0,96.56,Present,Partial
REC000002,EMP002,Employee 002,Team A,Document Verification,2026-07-01,General,118,84,34,2,1,95,74,4.38,8.0,97.88,Present,Partial
REC000003,EMP003,Employee 003,Team A,Document Verification,2026-07-01,General,0,0,0,0,0,95,0,4.79,0.0,96.17,Absent,Pending
REC000004,EMP004,Employee 004,Team A,Document Verification,2026-07-01,Night,87,61,26,3,1,95,54,4.48,8.0,95.76,Present,Partial
REC000005,EMP005,Employee 005,Team A,Document Verification,2026-07-01,Night,143,101,42,2,3,95,98,6.57,8.0,97.73,Present,Partial
REC000006,EMP006,Employee 006,Team A,Document Verification,2026-07-01,Afternoon,142,101,41,3,3,95,86,5.78,8.0,97.08,Present,Partial
REC000007,EMP007,Employee 007,Team A,Document Verification,2026-07-01,General,72,51,21,3,1,95,40,7.15,8.0,94.01,Present,Partial
REC000008,EMP008,Employee 008,Team A,Document Verification,2026-07-01,General,109,77,32,4,0,95,74,4.59,8.0,94.74,Present,Partial
REC000009,EMP009,Employee 009,Team A,Document Verification,2026-07-01,General,82,58,24,5,2,95,50,6.65,8.0,91.62,Present,Partial
REC000010,EMP010,Employee 010,Team A,Document Verification,2026-07-01,General,163,117,46,2,3,95,112,3.11,8.0,98.62,Present,Partial
REC000011,EMP011,Employee 011,Team B,Data Entry,2026-07-01,General,175,105,70,7,2,95,94,4.47,8.0,93.09,Present,Partial
REC000012,EMP012,Employee 012,Team B,Data Entry,2026-07-01,Afternoon,180,108,72,1,3,95,100,4.58,7.5,99.23,Late,Partial
REC000013,EMP013,Employee 013,Team B,Data Entry,2026-07-01,Night,105,63,42,4,1,95,60,4.95,8.0,94.25,Present,Partial
REC000014,EMP014,Employee 014,Team B,Data Entry,2026-07-01,Morning,171,103,68,3,2,95,93,5.58,8.0,97.53,Present,Partial
REC000015,EMP015,Employee 015,Team B,Data Entry,2026-07-01,Night,114,69,45,5,2,95,54,6.07,8.0,92.68,Present,Partial
